sex,dilation_of_pupils,body_features_change,body_language_change,voice_change,vocabulary_change,urge_to_abuse_alcohol,urge_to_abuse_drugs,raw_meat_craving,blood_craving,hyper_sexual,self-harm,hurt_others,hurt_animals,pains,personal_hygiene_changes,normal_routine_changes,blasphemies,uncontrollable_crying,hysteria,levitation,supernatural_knowledge,superhuman_strength,fainting,possesed
F,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes
M,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes
M,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,,Yes,No,Yes,,Yes,No,No,Yes,Yes,Yes
F,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes
F,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes
F,Yes,Yes,Yes,No,No,No,No,Yes,Yes,,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,,No,
M,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes
M,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,,Yes,No,No,No
M,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,,No,Yes,No,Yes,Yes,Yes,Yes,,Yes
M,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,,No,Yes,Yes,No,No,No
M,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,,Yes,No,Yes
F,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No
F,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes
M,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes
F,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No
M,No,Yes,No,Yes,No,No,No,No,,No,Yes,Yes,Yes,No,Yes,,Yes,Yes,Yes,No,Yes,No,No,No
F,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,,Yes,Yes,,No,
F,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes
M,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,,Yes,No,Yes
M,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No
M,No,Yes,Yes,Yes,No,No,No,Yes,Yes,,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes
F,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes
F,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No
F,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No
F,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes
F,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
M,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,
F,No,No,Yes,Yes,Yes,Yes,No,Yes,,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,,Yes,Yes,No,Yes
F,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No
M,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,,No,Yes,Yes,Yes,No,
M,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,
F,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,,No,No,,No,,Yes,Yes,Yes,No,Yes,Yes,No,No
F,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,,Yes,No,No
M,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes
F,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes
M,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,,Yes
F,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No
F,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes
M,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes
M,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes
M,No,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No
M,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes
F,No,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes
F,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes
M,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No
F,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes
F,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes
M,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No
F,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes
F,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No
M,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No
M,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes
F,Yes,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No
F,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,
F,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes
M,No,Yes,Yes,Yes,Yes,No,No,No,,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,,No
M,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes
M,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,,No,,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes
M,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,,Yes,No,No,No,Yes,No,No,No
M,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,,No,Yes,Yes,Yes,No,No
M,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes
M,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No
F,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,,Yes,,No,
F,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes
M,No,Yes,No,Yes,No,Yes,Yes,No,Yes,,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes
M,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No
F,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes
M,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,,No,,Yes,No,Yes,Yes,No,No,No
M,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes
M,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes
M,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,,Yes,,No
M,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No
M,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,,Yes,No,Yes,Yes,Yes,Yes,No,Yes
M,No,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes
M,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,No
F,No,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,,Yes,No,No,Yes,Yes,Yes,No,
F,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No
F,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No
M,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,,Yes,Yes,No,No,Yes,Yes,Yes,Yes
M,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes
F,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes
F,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No
F,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes
F,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes
F,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes
M,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,No
M,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,No
F,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes
F,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,Yes,Yes,No,Yes
M,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes
F,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
M,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No
F,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No
F,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes
M,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,,Yes,Yes,Yes,No,Yes,Yes,No,No,No
M,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes
M,No,Yes,Yes,Yes,Yes,Yes,Yes,No,,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No
M,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes
F,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
M,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No
M,No,Yes,No,Yes,No,Yes,No,No,No,Yes,,,Yes,No,No,,Yes,No,No,Yes,Yes,Yes,No,Yes
F,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,,No,,Yes,No,Yes,Yes,Yes,Yes,Yes
M,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,,,Yes,Yes,No,Yes
F,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes
M,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No
M,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,,No,Yes,Yes,Yes,No,Yes
F,No,Yes,Yes,No,No,Yes,No,Yes,Yes,,Yes,Yes,No,,Yes,No,Yes,Yes,No,Yes,No,,No,No
F,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
F,No,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,No,,Yes,Yes,No,,Yes,No,Yes,Yes,Yes,No,Yes
F,No,No,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,No,,Yes,No,Yes
M,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,,Yes
F,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,,Yes,No,Yes,No,Yes,Yes,No,Yes
M,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,,Yes,Yes,No,Yes
F,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes
M,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No
M,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes
F,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No
M,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes
F,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,
F,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes
M,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
M,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No
M,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No
M,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No
F,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No
F,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No
F,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes
M,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes
M,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No
F,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No
M,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes
M,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes
F,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes
F,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No
M,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No
M,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes
F,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,No
M,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes
M,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes
F,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No
F,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes
F,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No
M,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
F,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No
M,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes
M,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes
M,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes
F,No,No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No
M,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes
M,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
F,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
F,No,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes
M,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes
F,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes
F,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No
F,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes
M,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
M,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes
F,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
F,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes
F,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes
M,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes
F,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes
M,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes
